Bands IC,Band Acc,Système,Poste,Mi-temps,Start Time,Durée (s),Start Vel (km/h),Acc Max (m/s²),Distance (m)
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:37:30,"1,6","22,15","3,58","4,9"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:38:02,"1,4","17,65","3,17","3,59"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,16:00:19,"4,7","31,23","3,16","28,46"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,16:04:16,1,"17,61","3,9","2,99"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,16:05:33,"0,7","13,57","3,25","1,16"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,16:08:28,"2,9","30,35","3,95","15,82"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT2,16:10:16,"1,9","23,12","4,91","6,93"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,16:16:30,4,"5,27","3,9","23,4"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,16:17:09,"1,4","6,41","3,22","6,4"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,14:33:10,"2,4","5,12","3,31","12,75"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:33:33,"2,5","24,85","3,96","11,56"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,14:35:22,"2,2","19,76","4,59","8,31"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:37:38,"3,5","27,55","3,58","18,14"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:38:18,"1,8","17,76","3,5","3,6"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:38:23,"2,6","20,1","3,46","7,69"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,14:40:19,"0,9","17,33","4,4","1,75"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:40:32,"0,9","14,57","3,11","1,85"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:42:51,"1,6","17,4","3,44","4,5"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:45:44,"1,1","16,25","3,54","2,13"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,14:45:46,"0,9","7,26","3,7","3,67"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:48:38,"1,2","17,53","3,23","3,11"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,14:49:22,"1,8","5,65","3,22","7,95"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:52:40,"1,3","16,62","3,56","3,56"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,14:55:36,"1,3","21,13","4,96","3,1"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:57:28,1,"15,11","3,2","2,25"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,15:01:31,"1,6","16,49","3,1","3,79"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,15:02:05,"1,2",15,"3,1","3,6"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,15:03:19,"3,7","8,33","3,4","24,42"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,15:03:23,"2,7","28,97","4,4","12,56"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,15:03:44,"1,8","18,7","3,47","5,19"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,15:13:41,"1,4","21,21","4,95","4,96"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:36:25,"1,4","17,96","3,1","3,21"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,15:37:22,"0,6","19,11","5,64","0,98"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:43:14,"2,6","25,13","3,43","9,99"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,15:44:28,3,"27,83","4,2","15,48"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT2,15:48:17,"3,4","5,77","3,12","17,2"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:48:24,1,"14,36","3,8","2,42"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:50:17,"1,5","28,51","3,25","7,83"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:50:23,"2,9","25,17","3,55","14,38"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:54:39,"1,2","15,73","3,65","3,34"
Band IC 4,Acc > 4m/s²,Syst 352,AIL,MT2,15:55:25,"2,5","5,8","4,14","15,56"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT2,15:56:23,"1,7","5,68","3,24","7,78"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,16:00:00,"2,9","25,89","4,31",14
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:01:22,"1,7","22,43","3,69","5,67"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:05:08,"1,9","21,81","3,56","6,8"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:05:24,"0,8","14,93","3,49","1,3"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:06:24,"2,4","17,58","3,14","5,38"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT2,16:09:58,"1,8","5,27","3,6","8,27"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,16:10:00,"1,1","18,61","4,14","3,9"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:10:21,"1,8","18,4","3,21","3,87"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT2,16:10:59,"1,9","5,91","3,53","9,6"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,16:11:02,"1,9","20,76","4,34","5,57"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:15:48,"1,3","15,31","3,28","3,31"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:17:29,"2,9","27,88","3,63","13,47"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,16:18:13,"2,1","21,97","3,45","8,11"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,15:43:31,"1,7","5,84","3,5","7,43"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:43:33,2,"17,39","3,48","5,69"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:43:42,"1,6","17,21","3,53","4,35"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:44:18,1,"14,97","3,41","2,17"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,15:48:33,"2,1","5,87","3,42","11,2"
Band IC 3,Dec > 4m/s²,Syst 352,AIL,MT2,15:48:35,"1,4","21,58","4,61","4,55"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,15:48:37,"2,7","5,9","3,31","14,79"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:48:39,2,"24,31","3,55","6,66"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,15:52:49,"2,3","5,5","3,14","10,48"
Band IC 3,Dec > 4m/s²,Syst 352,AIL,MT2,15:52:52,"1,1","19,64","4,13","2,93"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:53:21,"2,1","21,56","3,34","7,65"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:54:17,"1,8","18,29","3,12","6,1"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,15:54:29,"2,4","5,7","3,6","12,14"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:57:04,"2,4","19,92","3,21","8,7"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:57:20,"3,4","22,6","3,3","13,69"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:58:22,"2,1","16,16","3,27","6,95"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,15:59:38,"2,7","5,1","3,59","12,79"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,15:59:41,"1,7","23,33","3,24","5,78"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,16:00:01,"2,1","16,66","3,53","7,17"
Band IC 3,Dec > 4m/s²,Syst 352,AIL,MT2,16:05:08,"1,5","23,79","4,31","5,65"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,16:05:38,"3,2","23,74","3,3","10,35"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,16:06:41,"1,2","17,69","3,28","2,97"
Band IC 3,Acc > 3m/s²,Syst 352,AIL,MT2,16:07:49,"1,8","5,4","3,2","7,88"
Band IC 3,Dec > 3m/s²,Syst 352,AIL,MT2,16:17:52,"3,7","17,88","3,23","14,25"
Band IC 4,Dec > 4m/s²,Syst 352,MCO,MT1,14:31:03,2,"23,9","4,33","8,22"
Band IC 4,Acc > 3m/s²,Syst 352,MCO,MT1,14:34:13,3,"5,32","3,7","16,92"
Band IC 4,Dec > 4m/s²,Syst 352,MCO,MT1,14:39:09,"2,7","25,51","4,35","12,53"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT1,14:41:00,"1,4","17,8","3,55","3,76"
Band IC 4,Acc > 3m/s²,Syst 352,MCO,MT1,14:49:02,"4,3","5,2","3,11","23,95"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT1,14:58:14,"1,9","22,51","3,8","5,96"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT1,15:05:06,"1,1","20,21","3,91","3,16"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT1,15:13:57,"1,5","18,33","3,7","4,61"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT2,15:35:45,"2,9","21,22","3,1","7,18"
Band IC 4,Acc > 3m/s²,Syst 352,MCO,MT2,15:41:25,"2,5","5,27","3,23","13,57"
Band IC 4,Acc > 3m/s²,Syst 352,MCO,MT2,15:52:49,"1,7","5,53","3,26","7,59"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT2,15:53:21,"1,5","18,91","3,48","5,12"
Band IC 4,Acc > 3m/s²,Syst 352,MCO,MT2,15:57:14,"2,4","5,88",3,"11,87"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT2,16:00:06,"0,9","12,31","3,23","1,24"
Band IC 4,Dec > 3m/s²,Syst 352,MCO,MT2,16:00:30,"0,7","13,47","3,8","1,21"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:31:52,"2,9","28,42","3,44","13,65"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:32:09,"2,8","21,38","3,11","11,57"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,14:33:13,"1,6","24,33","5,63","6,98"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:34:11,"1,1","18,7","3,68","2,57"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,14:35:57,"2,7","5,2","3,56","14,36"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,14:36:00,2,"24,67","5,82","5,62"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT1,14:39:09,"3,7","26,9","4,22","16,1"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:47:52,"1,9","25,57","3,11","7,75"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:51:14,"2,1","20,58","3,14","5,75"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:51:38,"1,9","17,7","3,28","4,27"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:52:20,"2,3","20,77","3,89","9,54"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,14:53:51,"1,2","5,19","3,42","5,2"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,14:57:51,"2,7","27,1","3,1","11,1"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,15:01:48,"0,8","13,21","3,42","1,26"
Band IC 4,Acc > 3m/s²,Syst 352,AIL,MT1,15:01:53,"1,4","5,18","3,86","6,66"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT1,15:01:54,1,"17,61","3,82","2,49"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:33:33,"1,9","21,22","3,35","5,12"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:36:54,"3,9","25,36","3,15","16,3"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:38:52,"0,5","12,74","3,3","0,66"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:40:56,"2,7","28,22","3,84","12,2"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:42:37,"2,4","22,56","3,91","7,57"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:45:41,"0,6","12,4","3,17","0,71"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:47:50,1,"16,4","3,16","2,5"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,15:48:09,"1,8","23,41","4,1","6,89"
Band IC 4,Dec > 4m/s²,Syst 352,AIL,MT2,15:57:54,"1,6","24,67","4,19","5,85"
Band IC 4,Dec > 3m/s²,Syst 352,AIL,MT2,15:59:42,"2,3","20,62","3,14","6,48"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:43:42,"1,2","16,82","3,51","3,32"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:43:50,"1,4","15,39","3,35","4,36"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT2,15:44:18,"1,1","16,77","4,21","2,19"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:47:59,"1,5","18,3","3,3","4,74"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:52:44,"1,5","18,97","3,58","4,63"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,15:52:46,2,"5,21","3,33","9,2"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:52:54,"1,4","19,29","3,55","4,17"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:53:06,"1,7","20,51","3,46","4,72"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:54:56,"1,8","21,12","3,89","5,96"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,15:55:02,"2,1","5,4","3,12","10,2"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:55:05,"1,7","19,56","3,96","5,33"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,15:58:53,2,"5,97","3,1","9,79"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT2,15:58:56,"1,5","20,19","4,2","4,47"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:58:59,"1,8","17,76","3,16","5,3"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:59:03,"1,7","17,63","3,21","4,27"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,16:03:24,"3,4","31,19","3,16","19,36"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,16:05:07,2,"5,19","3,1","7,58"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,16:08:24,"2,4","7,6","3,22","11,9"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,16:14:58,"1,5","17,96","3,35","4,65"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,16:16:24,"1,2","6,79","3,41","5,56"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT2,16:18:14,"1,5","21,93","4,91","4,84"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:43:33,"1,5","16,8","3,48","4,8"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:43:42,"1,1","16,1","3,64","2,73"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:43:50,"1,3","16,1","3,23","3,77"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:44:18,1,"16,2","3,83","2,3"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:47:58,"1,7","18,32","3,37","5,55"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:48:08,"1,4","17,63","3,47","4,52"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:52:44,"1,3","17,99","3,81","4,3"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:52:53,"1,9","16,68","3,24","6,45"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:53:05,"1,7","19,35","3,89","5,53"
Band IC 2,Acc > 3m/s²,Syst 352,MCO,MT2,15:54:54,"2,1","5,8","3,27","10,43"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:54:56,"1,6","20,42","3,9","5,3"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:55:05,"1,5","18,1","3,57","4,29"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:58:55,"1,6","18,44","3,45","4,37"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,15:59:03,"1,7","16,16","3,16","4,56"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,16:05:56,"1,2","18,43","3,88","2,83"
Band IC 2,Acc > 3m/s²,Syst 352,MCO,MT2,16:09:57,"1,9","6,13","3,41","9,19"
Band IC 2,Acc > 3m/s²,Syst 352,MCO,MT2,16:15:01,"1,9","5,53","3,11","8,86"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,16:17:47,"0,7","14,68","3,62","1,2"
Band IC 2,Acc > 3m/s²,Syst 352,MCO,MT2,16:18:01,"1,8","5,47","3,15","8,14"
Band IC 2,Dec > 3m/s²,Syst 352,MCO,MT2,16:18:03,"1,3","17,7","3,7","3,57"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:31:04,"2,6","25,62","3,8","10,81"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:32:11,2,"17,8","3,43","7,1"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:32:16,"0,8","14,55","3,36","1,88"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:34:10,"1,5","20,34","3,47","4,12"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:34:51,"1,8","22,8","3,13",7
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,14:35:19,"1,4","5,45","3,28","5,93"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:37:39,3,"23,41","3,4","12,18"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:39:10,"2,4","22,73","3,24","8,38"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT1,14:41:01,2,"23,68","4,33","8,22"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,14:42:26,"3,4","5,32","3,12","15,54"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:43:55,"1,5","18,55","3,17","5,23"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:45:53,"1,7","15,27","3,11","4,94"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,14:45:56,"2,4","5,66","3,34","12,83"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:46:58,"1,1","17,58","3,55","2,86"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:49:36,"2,4","20,3","3,8","7,11"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT1,14:50:52,"1,9","25,23","4,6","6,46"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,14:54:11,"1,3","7,28","3,5","5,77"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,14:54:53,"1,7","5,68","3,1","7,83"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,14:57:44,"2,7","24,1","3,1","11,87"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,15:01:56,1,"14,49","3,57","1,69"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,15:03:23,"4,6","25,5","3,3","13,34"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,15:08:24,"1,7","5,9","3,52","8,76"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,15:08:29,"1,3",8,"3,1","6,13"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,15:08:34,"1,6","21,8","3,61","5,24"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,15:12:00,4,"28,97","3,47","13,7"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT1,15:12:37,"2,6","5,19","3,2","12,5"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT1,15:12:54,"1,8","19,28","3,46","5,28"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:33:32,"2,3","24,62","3,91","9,55"
Band IC 3,Dec > 4m/s²,Syst 352,ATT,MT2,15:35:38,"1,8","23,83","4,26","6,46"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,15:40:32,"2,2","5,45","3,16","10,28"
Band IC 3,Acc > 4m/s²,Syst 352,ATT,MT2,15:41:05,"1,6","5,57","4,33","8,56"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:41:07,"2,2","21,9","3,32","8,61"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:45:05,"1,6","21,75","3,4","5,54"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:46:32,"3,1","30,35","3,53","16,44"
Band IC 3,Dec > 3m/s²,Syst 352,ATT,MT2,15:48:31,3,"20,28","3,29","6,54"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,15:49:49,"2,6","5,58","3,41","14,75"
Band IC 3,Acc > 3m/s²,Syst 352,ATT,MT2,15:51:04,"2,7","5,13","3,18","13,29"